Time_Months,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,7.58759441465035e-08,0.0,0.0,0.0,2.1091199612596845e-07,0.0,3.3158084017146976e-08,7.419498441905328e-08,6.006689650263499e-08,0.0,2.9461150692739923e-08,0.0,1.192368839427663e-07,8.898829237099898e-09,2.870428842069005e-08,2.124348590231098e-07,0.00010053234526048777,3.45997393433398e-06,0.0,0.0,0.0,0.0,0.0,4.898137715795111e-07,4.490086338373505e-07,0.0,0.0,4.044324993058927e-07,0.0,0.0
1,3.2879575796818184e-07,0.0,0.0,0.0,1.6169919702990914e-06,2.3324782079476628e-07,1.8701159385670893e-05,1.4838996883810655e-06,7.928830338347818e-07,9.503381377009129e-07,8.985650961285676e-07,1.348747591522158e-06,1.947535771065183e-06,2.6696487711299695e-08,8.611286526207015e-08,6.0833618720254174e-05,0.0011486417822158073,1.070528632434986e-05,7.0601164390596646e-06,9.409133823508746e-09,9.409133823508746e-09,0.0,1.0462329832166966e-07,4.898137715795111e-07,1.0476868122871511e-06,0.0,0.0,2.123270621355937e-06,0.0,0.0
2,0.0002026140628525465,0.00375486684016419,0.00013068910626184039,0.00031297898936433227,0.00024121301956939927,0.0005692413066496271,0.0017539300121710063,0.0007757975960825048,0.000743784352633528,0.002025761892948548,0.0005713695565349981,0.00046570327552986513,1.7925278219395868e-05,1.2431664444228558e-05,4.0099890923704e-05,0.00018898977549092294,0.0011739913091640254,1.1855965729116895e-05,0.0005310564818958791,2.6896009034499753e-05,2.6896009034499753e-05,2.332076445908416e-05,0.00014877433021341427,0.0002488253959623916,0.0001372469724096168,2.2812845807250167e-05,2.2812845807250167e-05,6.71357948847782e-05,0.0001604357325887895,4.489589795975288e-05
3,0.0012825816678711129,0.015261878114566085,0.0008043435857433247,0.0015641985093731428,0.0012579494488939844,0.0034764421450355944,0.0034063797082075345,0.0025057278527971507,0.0019115569009205552,0.00450745378711543,0.002633311301793826,0.00208102119460501,0.00011354531001589825,0.00031023988369301375,0.0010007176072105173,0.00020807028828318045,0.00117965339612582,1.2601923412207249e-05,0.0011267612475423384,0.00041017707533512856,0.00041017707533512856,9.797376188313536e-05,0.0009260208134450982,0.0003704216647570052,0.00020414925885138205,9.521370308465758e-05,9.521370308465758e-05,0.0012619305059592117,0.001425246973623742,0.0006535613347909516
4,0.0028798714600805405,0.01849796515057064,0.0018424110338798383,0.002607601094743954,0.00203663653859106,0.005955749856173562,0.0038628670508715967,0.0028338774298857397,0.0021802121022182403,0.005057467263966153,0.003793638721827388,0.003724566473988439,0.00013307631160572336,0.0016961969420543747,0.0054712957115793095,0.00022214892575843928,0.001179774602880354,1.2657473452437382e-05,0.0018033180380415028,0.0024282010521321667,0.0024282010521321667,0.0003728445938330429,0.006463104253821144,0.0003793607660883313,0.00024740375724438015,0.0005510659567763172,0.0005510659567763172,0.0034939934696284337,0.0019438441262339314,0.0024490525629855984
5,0.006090359700788779,0.019598243653152336,0.005700844778637392,0.007077383068500613,0.0024986041141056396,0.006459798396911053,0.003988552768338593,0.0030307760795370235,0.002333707049541074,0.005264260842729872,0.004201351586264216,0.00654373795761079,0.00014789348171701113,0.005210095440566486,0.01680581548883403,0.0002481625398588146,0.001179774602880354,1.3022516573949682e-05,0.0027104894245349094,0.006645995834661139,0.006645995834661139,0.0014277883591505701,0.014615508593993127,0.0003922183775922935,0.00033391275403037634,0.0025495252044852113,0.0025495252044852113,0.00492062911092997,0.002370265727506803,0.005481234764154782
6,0.012821188246118193,0.020698918170851715,0.014384310719611824,0.021839628377263137,0.002795779116647129,0.006919063356055947,0.004103926321676255,0.0033719988128802494,0.002507168233261383,0.006093188003683173,0.004489717329244754,0.007425433526011561,0.0002882034976152623,0.015092307600170583,0.04868212871002928,0.00027686055808684565,0.001179774602880354,1.333200965523185e-05,0.003621780204431208,0.012563315414061377,0.012563315414061377,0.004232740875286261,0.018605527322086642,0.0004620168400423738,0.0016360377921586927,0.008315526780308249,0.008315526780308249,0.006117648200750586,0.002737438392577902,0.007925145698391312
7,0.01804947076149578,0.021639949094236697,0.02247392865555083,0.028947236831029465,0.003024759240441222,0.007280014358735848,0.004463310215296103,0.004765692239204629,0.002911814888241034,0.009774924660888203,0.004980053990799371,0.008128998073217727,0.0005436009538950715,0.032847055919789085,0.10595229347264482,0.0003897600295276729,0.0011798438638829446,1.3808152857204415e-05,0.004467184501403802,0.018417574978576462,0.018417574978576462,0.009242788938629528,0.021538066062393883,0.0004975283384818884,0.0028643757447930716,0.010572497891961533,0.010572497891961533,0.007100924714688038,0.0032029403408031535,0.009070292700286043
8,0.020776679821953557,0.022846953671032916,0.026932283382977925,0.03280294669184551,0.0037881903624185195,0.008853737405638136,0.005220093745861456,0.008990844338922688,0.0034744975479191176,0.01624419314359755,0.006714888579916708,0.008946339113680155,0.0006643799682034976,0.05617460706084903,0.18119823181583328,0.0004613505770184609,0.0011798438638829446,1.4498560500064636e-05,0.005443540266695482,0.022663615980843606,0.022663615980843606,0.01661661995212207,0.02421982275662408,0.0005176107031166483,0.003020780418913082,0.011369986421888597,0.011369986421888597,0.00952337427740551,0.0037783557648319727,0.009611255237890666
9,0.02378108899835989,0.025333136579822366,0.03202095829185324,0.03726158566642587,0.005496718139036281,0.012466396278017874,0.011264298511885084,0.020988217836474254,0.006231976552286281,0.02503988938739873,0.01494841109459208,0.011980250481695568,0.0008054292527821939,0.07282874818042301,0.2349182501865779,0.0005143820427345936,0.0011798438638829446,1.5252453903187865e-05,0.00729551715108848,0.026052776574937632,0.026052776574937632,0.02581931664672896,0.026692332854210937,0.000541856484809834,0.003045176554684911,0.012231799420961751,0.012231799420961751,0.013409869487610311,0.004450689500750583,0.009975391705220025
