D,r,gamma,region_index
3554.4888651542256,0.14208206959810604,0.07069005833853925,1
3522.042141891953,0.14045908535970425,0.0715369407383678,2
3548.223378266063,0.16619456428040677,0.07067169909986089,3
3526.6321476780467,0.32903349761292233,0.07081896204734531,4
3554.2993510393617,0.14162117227013982,0.0701524429429454,5
3489.901909668879,0.3018394550738542,0.07938211688672395,6
3555.874588106459,0.342415694326687,0.07246618248402617,7
3539.0647812491825,0.14191774281329794,0.0706901960544276,8
3527.47768869444,0.14159246530275732,0.07106784399385914,9
3597.514017152555,0.2738778308616377,0.06971424824954567,10
3565.385007302569,0.2940573188828737,0.07680531226148647,11
3536.1752604765597,0.14184202229933268,0.0708702925322969,12
3559.3598554716,0.1426994464667081,0.07050297471196404,13
3508.197697994966,0.2732886063906265,0.07046303020843894,14
3561.733317270397,0.14363676076766901,0.07110475930323575,15
3536.4866962780934,0.14184257244461795,0.07086037474256456,16
3556.9500183134296,0.14153419218188767,0.07094406809591088,17
3554.7281625177093,0.14251900043831728,0.07031710604274953,18
3553.2391302288916,0.14217589565966526,0.07059872861352304,19
3558.0331709762904,0.14242605695782784,0.07051487876293464,20
3545.543850108332,0.28852617597093966,0.07051822045023526,21
3591.5884670834475,0.14470863613936877,0.07079200786999601,22
3591.9071774925565,0.14183164034752357,0.07253667536433707,23
3551.508769293175,0.28267836595185947,0.07144904000095056,24
3541.0844750301844,0.14192754357325135,0.07080464108004393,25
3487.139925917938,0.2694222508875838,0.03806195787455127,26
3556.241973252303,0.14296586514769896,0.07128836292568227,27
3558.3256424707984,0.13958607718276658,0.07209433736465407,28
3548.7672236589497,0.14096767584782027,0.07029279201681628,29
3552.548821485228,0.12477111388243733,0.07596207360041794,30
3548.527013711491,0.28347516020804536,0.06999000294952289,31
3368.718945720148,0.28957004682225324,0.07407918342895765,32
3575.730653665113,0.26948999173895954,0.037111607955200764,33
3551.9156110152203,0.28078763702771203,0.0705394874150919,34
3549.5688490140114,0.1419152856956181,0.07079556090735076,35
3553.7505682305655,0.13855071469863073,0.07109558482728129,36
3565.0162781003487,0.2762647514374431,0.0755649736329886,37
3533.890689009734,0.14334180263690718,0.07099910715529699,38
3536.959734410023,0.3101478870574546,0.07197082482313731,39
3504.8848201163128,0.27330900217072357,0.0719559481458437,40
3473.5144459855524,0.25767235640776265,0.038584770601037245,41
3540.240806233931,0.3209246811346832,0.06955503964190571,42
3548.9301853531433,0.27915586355668637,0.07045518520243783,43
3546.0709038227847,0.1436116294495394,0.07043190471242806,44
3429.9988635272844,0.3072682630468469,0.0739602490816548,45
3545.0424237034094,0.1372253883065332,0.06985141831904172,46
3589.29719234236,0.27271882188467067,0.07073961829969072,47
3558.5074944326725,0.25075558505349216,0.07022861518421958,48
3547.1209604078012,0.14142588891868305,0.07078748445789959,49
3555.914733652046,0.14231306388072157,0.07046197194873474,50
3514.0711404345325,0.14152165979803616,0.07149823984645333,51
3608.517244030588,0.14349937322542214,0.03717137006285762,52
3455.424674753699,0.27807375313848776,0.07200783024257683,53
3337.052028080664,0.3189778898615514,0.07468509466588386,54
