Column,Region_Name,Region_Number,Quarter
176,Buenos Aires_Q8,22,8
177,Santiago Met._Q1,23,1
178,Santiago Met._Q2,23,2
179,Santiago Met._Q3,23,3
180,Santiago Met._Q4,23,4
181,Santiago Met._Q5,23,5
182,Santiago Met._Q6,23,6
183,Santiago Met._Q7,23,7
184,Santiago Met._Q8,23,8
185,New South Wales_Q1,24,1
186,New South Wales_Q2,24,2
187,New South Wales_Q3,24,3
188,New South Wales_Q4,24,4
189,New South Wales_Q5,24,5
190,New South Wales_Q6,24,6
191,New South Wales_Q7,24,7
192,New South Wales_Q8,24,8
193,Victoria_Q1,25,1
194,Victoria_Q2,25,2
195,Victoria_Q3,25,3
196,Victoria_Q4,25,4
197,Victoria_Q5,25,5
198,Victoria_Q6,25,6
199,Victoria_Q7,25,7
200,Victoria_Q8,25,8
201,Gauteng_Q1,26,1
202,Gauteng_Q2,26,2
203,Gauteng_Q3,26,3
204,Gauteng_Q4,26,4
205,Gauteng_Q5,26,5
206,Gauteng_Q6,26,6
207,Gauteng_Q7,26,7
208,Gauteng_Q8,26,8
209,Western Cape_Q1,27,1
210,Western Cape_Q2,27,2
211,Western Cape_Q3,27,3
212,Western Cape_Q4,27,4
213,Western Cape_Q5,27,5
214,Western Cape_Q6,27,6
215,Western Cape_Q7,27,7
216,Western Cape_Q8,27,8
217,Dubai_Q1,28,1
218,Dubai_Q2,28,2
219,Dubai_Q3,28,3
220,Dubai_Q4,28,4
221,Dubai_Q5,28,5
222,Dubai_Q6,28,6
223,Dubai_Q7,28,7
224,Dubai_Q8,28,8
225,Istanbul_Q1,29,1
226,Istanbul_Q2,29,2
227,Istanbul_Q3,29,3
228,Istanbul_Q4,29,4
229,Istanbul_Q5,29,5
230,Istanbul_Q6,29,6
231,Istanbul_Q7,29,7
232,Istanbul_Q8,29,8
233,Riyadh_Q1,30,1
234,Riyadh_Q2,30,2
235,Riyadh_Q3,30,3
236,Riyadh_Q4,30,4
237,Riyadh_Q5,30,5
238,Riyadh_Q6,30,6
239,Riyadh_Q7,30,7
240,Riyadh_Q8,30,8
